CustomerID,Age,Annual_Income,Spending_Score,Region,Product_Category,Purchase_Channel,Num_Purchases,Avg_Transaction_Value,Total_Sales,Customer_Segment
44,36,94961,11,East,Sports,Mobile,24,348.27,8702.85,Regular
45,21,47775,41,East,Groceries,In-Store,17,251.28,3903.63,Regular
46,68,119180,2,South,Clothing,Online,15,382.88,6252.18,Regular
47,41,65286,45,North,Electronics,Online,14,201.16,2878.41,Regular
48,64,73141,25,East,Clothing,Online,18,272.46,5577.06,Regular
49,53,95095,34,North,Clothing,Online,24,38.33,978.36,Premium
50,58,85999,46,South,Furniture,In-Store,15,95.71,1481.9,Premium
51,57,37228,33,South,Sports,Online,17,393.07,7342.04,Regular
52,28,50248,40,North,Groceries,In-Store,13,196.97,2345.27,Regular
53,36,56118,76,South,Groceries,Mobile,17,27.2,480.81,Premium
54,42,114753,81,South,Clothing,Online,19,92.14,1693.1,VIP
55,43,91450,1,West,Furniture,Online,13,211.68,2953.1,Regular
56,20,56633,38,West,Furniture,Online,13,361.78,4032.19,Regular
57,46,93472,84,North,Clothing,Online,17,188.11,3128.52,VIP
58,26,93851,53,East,Sports,In-Store,13,375.14,5098.77,Premium
59,56,59422,21,East,Clothing,Mobile,20,430.45,8507.34,Regular
60,53,60314,59,South,Furniture,Mobile,16,177.16,2611.74,Regular
61,65,109429,15,South,Sports,In-Store,17,402.18,6763.94,Regular
62,56,76181,3,West,Furniture,Online,21,72.17,1674.59,Regular
63,37,34951,63,South,Electronics,Online,13,213.49,2531.28,Regular
64,68,91978,51,North,Groceries,Online,15,57.81,832.6,Premium
65,39,78956,75,South,Electronics,Online,13,35.74,532.97,Premium
66,34,70893,35,South,Furniture,Mobile,15,41.62,701.62,Regular
67,65,92510,85,South,Clothing,In-Store,12,61.33,633.07,VIP
68,37,110708,42,North,Furniture,Online,17,419.51,7196.57,Premium
69,21,53043,74,North,Sports,Online,17,276.4,4086.19,Premium
70,42,61930,10,West,Electronics,Online,16,474.22,8552.44,Regular
71,59,38949,10,North,Clothing,Mobile,13,273.62,3494.68,Budget
72,27,84707,78,East,Groceries,Online,16,318.07,4964.59,Premium
73,42,60271,83,East,Clothing,Online,15,100.4,1403.42,Premium
74,24,54236,94,East,Electronics,Online,14,274.88,3927.77,Premium
75,53,89652,33,West,Electronics,Mobile,17,198.8,3019.67,Regular
76,42,60815,3,North,Clothing,In-Store,22,466.4,11181.06,Budget
77,35,66436,98,South,Groceries,In-Store,17,467.62,7928.58,Premium
78,29,64005,60,North,Groceries,Online,15,107.26,1640.98,Premium
79,47,45853,25,East,Electronics,Online,13,313.86,4497.34,Regular
80,52,32580,76,East,Clothing,Mobile,14,322.71,4091.2,Regular
81,66,102723,90,West,Clothing,Online,15,285.64,3867.09,VIP
82,40,29172,29,South,Clothing,Online,18,70.92,1246.23,Budget
83,26,52487,77,North,Furniture,In-Store,13,330.47,4664.88,Premium
84,61,86748,78,West,Clothing,Online,21,401.55,7315.77,Premium
85,50,33129,50,East,Groceries,Online,15,179.16,2925.37,Regular
86,54,85551,63,West,Sports,Mobile,14,262.13,3670.65,Premium
87,23,93306,27,South,Groceries,In-Store,14,67.0,955.38,Regular
88,34,86290,92,South,Groceries,Online,13,466.04,6175.55,VIP
89,57,50503,98,South,Electronics,Online,18,63.67,993.46,Premium
90,61,21976,98,East,Electronics,In-Store,24,112.1,2488.44,Premium
91,40,108735,73,North,Electronics,Online,13,156.25,2186.82,VIP
92,59,52654,5,West,Furniture,Online,23,414.64,9285.72,Budget
93,61,100500,37,North,Furniture,In-Store,22,353.32,7914.16,Premium
94,38,39780,45,South,Electronics,In-Store,23,13.44,350.38,Regular
95,64,36241,96,South,Electronics,Mobile,18,99.95,1554.21,Premium
96,32,97815,55,East,Clothing,Online,24,377.57,8924.89,Premium
97,30,113973,54,East,Groceries,Online,11,207.88,2191.51,Premium
98,53,106063,15,West,Groceries,In-Store,15,22.84,302.15,Regular
99,51,95124,79,West,Furniture,In-Store,15,482.32,8213.22,VIP
100,25,44668,34,North,Sports,Online,18,84.1,1723.37,Regular
101,61,111321,10,North,Clothing,In-Store,19,260.13,4662.96,Regular
102,28,86784,98,West,Groceries,Online,19,131.67,2837.0,VIP
103,59,37216,19,South,Groceries,Mobile,14,371.36,4474.04,Budget
104,18,32936,2,North,Clothing,Mobile,23,390.6,10279.88,Budget
105,59,107116,8,West,Sports,Online,19,204.64,4280.01,Regular
106,58,47515,45,East,Electronics,Mobile,16,332.64,4866.12,Regular
107,58,96589,11,North,Furniture,Mobile,13,455.45,6097.67,Regular
108,52,33865,84,West,Furniture,Online,15,409.26,6688.27,Premium
109,42,48053,51,East,Sports,Online,23,213.3,4639.95,Regular
110,54,48352,33,East,Groceries,In-Store,16,226.32,3462.25,Regular
111,32,48110,1,West,Clothing,Online,15,444.57,6926.57,Budget
112,58,87473,48,South,Furniture,Online,10,26.84,239.98,Premium
113,46,111438,15,South,Furniture,Online,15,21.18,281.31,Regular
114,41,111032,97,East,Groceries,Mobile,14,110.84,1435.29,VIP
115,44,94155,29,North,Furniture,Online,15,415.53,6684.08,Regular
116,47,40252,48,North,Clothing,In-Store,18,85.07,1469.98,Regular
117,19,116058,2,West,Groceries,Online,18,149.79,2702.17,Regular
118,25,74207,13,North,Sports,Online,18,318.24,5204.95,Regular
119,30,74596,21,East,Clothing,Mobile,12,100.28,1092.93,Regular
120,23,90139,6,South,Groceries,Online,19,158.53,3148.02,Regular
121,40,96909,72,North,Sports,Online,18,238.79,3793.23,Premium
122,52,115292,94,East,Furniture,Online,22,121.77,2813.83,VIP
123,52,78237,98,West,Sports,In-Store,12,496.28,5777.95,VIP
124,42,81006,27,South,Clothing,Online,14,90.09,1326.07,Regular
125,62,94552,79,North,Sports,Online,21,426.47,8638.11,VIP
126,47,45510,50,North,Electronics,Online,18,240.35,4775.44,Regular
127,22,50771,5,North,Groceries,Online,20,73.27,1270.01,Budget
128,57,82547,9,West,Groceries,Online,12,68.06,913.08,Regular
129,47,26412,55,South,Furniture,In-Store,9,255.15,2136.98,Regular
130,51,52049,42,South,Sports,Online,12,183.22,1896.9,Regular
131,47,91799,1,North,Furniture,Online,20,124.96,2545.99,Regular
132,46,117612,93,South,Groceries,In-Store,15,479.88,6602.95,VIP
133,22,71949,73,West,Clothing,In-Store,11,237.06,2575.74,Premium
134,47,59967,50,South,Groceries,Online,18,465.12,9131.47,Regular
135,59,64037,98,East,Groceries,Online,20,90.36,1965.26,Premium
136,33,88542,97,North,Electronics,Online,17,99.9,1749.45,VIP
137,49,74447,97,North,Groceries,Mobile,20,302.05,6907.05,VIP
138,19,22322,26,East,Sports,Online,16,142.24,2251.09,Budget
139,36,73923,88,North,Furniture,Online,18,100.62,1560.89,Premium
140,40,60006,50,South,Furniture,Online,22,56.4,1359.7,Regular
141,69,90080,72,South,Clothing,Online,12,47.37,520.91,Premium
142,29,107510,86,North,Groceries,Online,16,379.05,5475.74,VIP
143,32,116244,17,East,Electronics,Online,11,148.26,1420.48,Premium
144,39,81022,45,West,Clothing,In-Store,14,489.43,6498.25,Premium
145,69,56256,13,North,Groceries,In-Store,15,99.73,1417.93,Budget
146,62,64394,28,West,Clothing,In-Store,12,183.68,2073.74,Regular
147,19,37646,41,East,Electronics,In-Store,18,193.71,3584.26,Regular
148,30,113593,85,East,Furniture,Online,15,255.07,4114.77,VIP
149,60,104731,86,North,Clothing,Mobile,16,436.61,7903.2,VIP
150,21,105398,39,West,Clothing,In-Store,10,419.04,3680.07,Premium
151,62,52812,33,North,Electronics,Mobile,12,14.88,159.83,Regular
152,32,52221,53,West,Groceries,In-Store,15,210.53,3243.07,Regular
153,65,105661,91,East,Clothing,Online,18,415.69,6580.34,VIP
154,33,74454,97,South,Groceries,Online,15,10.1,145.63,VIP
155,40,90465,23,North,Groceries,Online,8,271.48,2252.99,Regular
156,52,68982,19,East,Electronics,Online,16,137.14,2378.91,Regular
157,24,64277,70,North,Sports,In-Store,16,212.26,3108.44,Premium
158,46,83220,30,East,Electronics,Online,17,215.95,3856.16,Regular
159,44,101298,20,West,Clothing,Online,23,201.96,4848.35,Regular
160,58,53411,4,South,Electronics,Mobile,12,447.06,5943.49,Budget
161,69,100914,40,North,Groceries,In-Store,21,272.87,5410.09,Premium
162,52,44420,39,North,Clothing,In-Store,18,452.84,8762.68,Regular
163,39,60282,56,North,Sports,Online,18,366.1,7087.99,Regular
164,39,111267,20,North,Clothing,In-Store,10,182.05,1678.06,Premium
165,39,115445,71,North,Groceries,Mobile,14,251.85,3654.06,VIP
166,60,112387,68,East,Electronics,In-Store,13,201.03,2750.72,VIP
167,34,51604,46,South,Electronics,In-Store,14,416.0,5429.88,Regular
168,26,104332,18,West,Clothing,In-Store,20,101.92,2008.92,Regular
169,35,113608,51,West,Groceries,Online,26,468.84,11954.98,Premium
170,19,117820,67,West,Clothing,In-Store,21,294.41,6689.91,VIP
171,23,22090,37,East,Sports,Mobile,19,309.76,5003.84,Budget
172,22,94499,27,South,Furniture,Online,15,263.23,3949.67,Regular
173,58,119674,51,West,Sports,Online,24,281.7,6120.57,Premium
174,55,96466,36,North,Clothing,Online,19,337.16,6688.24,Premium
175,54,43317,40,South,Furniture,Online,14,330.97,4884.31,Regular
176,42,96259,35,South,Groceries,Mobile,21,114.93,2414.35,Premium
177,55,30524,31,East,Groceries,In-Store,15,295.4,4486.87,Budget
178,26,68060,71,East,Sports,Online,24,183.77,4165.78,Premium
179,64,82622,46,West,Groceries,Online,12,322.14,3649.19,Premium
180,44,65645,47,West,Sports,Online,18,278.44,5380.47,Regular
181,66,89983,65,South,Furniture,Online,23,98.04,2005.8,Premium
182,25,44022,36,West,Electronics,In-Store,18,370.02,7202.85,Regular
183,43,80622,11,North,Furniture,Mobile,15,233.94,3672.29,Regular
184,54,84481,85,West,Groceries,In-Store,16,280.21,5000.48,Premium
185,43,83379,6,North,Sports,Online,15,339.6,4727.45,Regular
186,41,48932,57,West,Furniture,In-Store,15,329.91,4957.82,Regular
187,26,50538,27,South,Electronics,In-Store,13,376.98,4222.95,Regular
188,37,45780,22,West,Electronics,Online,20,111.31,2501.7,Regular
189,30,66177,5,North,Electronics,In-Store,13,64.09,877.01,Regular
190,33,78596,90,South,Groceries,In-Store,20,337.9,7007.12,Premium
191,53,56253,43,West,Electronics,Mobile,24,125.63,3225.6,Regular
192,50,60998,34,North,Furniture,Online,15,66.16,928.19,Regular
193,49,48641,74,South,Groceries,Online,17,74.31,1302.63,Premium
194,36,41885,4,North,Furniture,In-Store,17,163.27,3026.16,Budget
195,67,85743,56,South,Clothing,Online,11,495.98,4785.2,Premium
196,22,101605,49,South,Groceries,Online,18,87.06,1782.78,Premium
197,35,49070,55,East,Electronics,In-Store,17,156.28,2969.1,Regular
198,24,106056,13,South,Sports,Online,13,461.16,6827.83,Regular
199,35,77097,95,North,Electronics,In-Store,15,482.02,7899.14,VIP
200,68,36769,24,North,Electronics,Mobile,23,122.13,2635.66,Budget
201,37,56599,68,West,Electronics,In-Store,17,441.42,7687.74,Premium
202,65,20750,74,West,Furniture,In-Store,17,78.07,1175.96,Regular
203,43,23916,35,North,Electronics,In-Store,27,383.15,11133.86,Budget
204,54,53612,13,North,Groceries,Online,20,16.37,293.38,Budget
205,41,65446,30,North,Furniture,Online,19,209.24,4413.06,Regular
206,31,99751,80,West,Furniture,In-Store,18,131.19,2177.62,VIP
207,57,33430,90,East,Electronics,Online,19,354.96,6057.16,Premium
208,68,103917,93,West,Electronics,Online,10,17.87,155.7,VIP
209,31,43452,23,South,Clothing,Online,12,237.8,3034.55,Budget
210,58,33832,61,East,Electronics,Mobile,14,351.4,4456.47,Regular
211,31,89989,15,North,Furniture,Online,19,32.89,568.23,Regular
212,55,97433,71,East,Clothing,In-Store,19,449.73,7698.15,Premium
213,59,80491,42,East,Clothing,Online,17,186.99,2993.63,Regular
214,41,31570,71,South,Electronics,In-Store,20,90.98,2060.45,Regular
215,56,31534,68,East,Groceries,Online,18,120.48,2159.94,Regular
216,32,59006,99,East,Electronics,Online,14,176.06,2288.02,Premium
217,22,65060,49,South,Furniture,In-Store,14,107.2,1352.4,Regular
218,23,119860,34,North,Electronics,In-Store,21,260.18,4675.19,Premium
219,41,48647,53,North,Sports,Online,15,320.14,4607.6,Regular
220,64,39259,17,West,Furniture,Online,22,222.38,4320.04,Budget
221,24,114590,12,South,Electronics,Online,18,219.25,3386.51,Regular
222,41,35396,52,South,Electronics,Online,20,393.03,6924.35,Regular
223,54,22640,82,East,Clothing,In-Store,25,157.5,3723.13,Regular
224,28,62280,53,South,Electronics,Online,17,315.16,5760.94,Regular
225,55,60108,78,South,Electronics,In-Store,17,447.53,6619.7,Premium
226,33,81966,18,East,Sports,Online,16,118.54,1998.3,Regular
227,60,107773,45,East,Groceries,In-Store,21,313.75,6827.02,Premium
228,48,113290,61,East,Electronics,Online,11,474.51,5817.76,Premium
229,46,48963,35,North,Groceries,In-Store,16,269.6,3904.65,Regular
230,27,118082,2,South,Clothing,Online,16,488.68,8509.13,Regular
231,42,83266,8,South,Sports,Mobile,21,161.92,3772.52,Regular
232,62,26964,92,East,Electronics,In-Store,18,286.5,5894.17,Premium
233,19,113844,60,North,Furniture,Mobile,15,162.41,2661.65,Premium
234,57,33799,27,North,Furniture,Online,16,11.82,167.77,Budget
235,43,78859,26,West,Electronics,Online,18,498.68,10180.3,Regular
236,55,99073,4,East,Electronics,Online,12,127.63,1676.29,Regular
237,52,44943,94,West,Clothing,Online,13,486.82,5782.48,Premium
238,40,47063,11,South,Sports,In-Store,11,329.99,3265.3,Budget
239,34,67617,76,West,Groceries,Mobile,18,452.93,9220.13,Premium
240,50,108484,24,South,Groceries,In-Store,10,483.93,4339.45,Premium
241,25,42360,34,East,Furniture,In-Store,17,288.24,5307.43,Regular
242,48,86345,28,North,Furniture,Online,12,499.85,5827.72,Regular
243,22,65259,82,West,Groceries,Online,23,385.99,9473.84,Premium
244,51,31184,4,South,Groceries,In-Store,12,266.67,2808.21,Budget
245,50,91087,35,West,Furniture,Online,14,330.92,4945.68,Premium
246,22,103252,28,South,Clothing,Online,14,105.19,1477.92,Premium
247,57,77563,28,West,Sports,Mobile,15,15.41,258.91,Regular
248,39,37635,20,South,Electronics,Mobile,16,135.83,1970.12,Budget
249,58,35572,91,North,Electronics,In-Store,10,223.14,1969.9,Premium
250,20,62349,38,North,Furniture,Online,13,121.75,1438.51,Regular
251,27,70641,42,East,Clothing,Mobile,16,261.88,3660.34,Regular
252,43,75218,39,North,Electronics,Online,8,332.39,3042.15,Regular
253,27,44365,98,South,Electronics,Online,14,331.34,4113.92,Premium
254,35,70076,34,East,Groceries,Online,18,447.94,7339.32,Regular
255,52,49507,34,South,Furniture,Mobile,15,483.5,7926.3,Regular
256,25,88616,33,North,Electronics,Mobile,14,446.44,5775.31,Regular
257,53,99647,33,East,Electronics,In-Store,14,313.89,4028.35,Premium
258,23,85268,9,East,Clothing,Online,12,110.82,1398.58,Regular
259,27,20124,60,East,Sports,In-Store,17,472.29,7785.09,Regular
260,48,119204,3,West,Clothing,Online,13,95.68,1369.02,Regular
261,59,22376,23,North,Sports,Mobile,9,84.2,789.23,Budget
262,26,119942,21,South,Sports,Online,15,165.61,2326.32,Premium
263,33,23177,29,North,Clothing,Online,17,291.07,5093.55,Budget
264,66,71645,75,West,Furniture,In-Store,9,343.92,3435.57,Premium
265,69,30597,60,East,Furniture,In-Store,11,16.51,174.23,Regular
266,48,29519,99,North,Groceries,Mobile,19,391.23,7960.7,Premium
267,41,88339,35,East,Clothing,Online,19,95.76,1773.5,Regular
268,36,92784,92,North,Furniture,Mobile,11,155.28,1730.15,VIP
269,49,31823,5,South,Furniture,Online,13,167.82,2334.62,Budget
270,48,117666,50,East,Furniture,Online,19,172.9,2851.99,Premium
271,33,52046,80,East,Sports,In-Store,16,382.58,6038.55,Premium
272,19,51832,53,West,Groceries,Online,20,30.06,528.19,Regular
273,25,49697,93,East,Furniture,In-Store,11,106.29,1248.11,Premium
274,67,66120,32,West,Sports,Online,11,20.94,237.79,Regular
275,39,37783,4,East,Electronics,Online,13,391.37,4823.65,Budget
276,43,62477,77,North,Electronics,In-Store,12,492.02,5153.72,Premium
277,42,40998,7,North,Clothing,Online,16,333.18,6011.85,Budget
278,58,25141,76,West,Sports,In-Store,11,299.17,3108.23,Regular
279,21,56873,73,North,Clothing,In-Store,19,454.95,8061.55,Premium
280,22,87226,84,South,Furniture,Online,12,134.93,1425.35,VIP
281,32,96308,48,North,Electronics,In-Store,16,42.57,696.93,Premium
282,43,55333,89,South,Clothing,Online,20,259.89,4832.37,Premium
283,52,52374,17,East,Groceries,Online,16,137.57,2427.52,Regular
284,43,98746,44,North,Electronics,Online,11,231.03,2680.67,Premium
285,40,88118,13,South,Sports,Mobile,12,233.59,2385.91,Regular
286,66,103212,76,West,Electronics,In-Store,14,166.23,2373.07,VIP
287,26,110610,71,North,Sports,In-Store,19,248.3,4338.16,VIP
288,47,102123,80,North,Electronics,Mobile,16,196.27,2683.75,VIP
289,46,113648,76,South,Sports,Online,20,65.4,1354.84,VIP
290,42,61666,31,West,Groceries,Mobile,12,434.7,4754.61,Regular
291,59,59467,7,South,Electronics,In-Store,17,353.62,6732.27,Budget
292,31,52154,92,East,Electronics,Mobile,18,30.24,556.3,Premium
293,67,43522,49,North,Electronics,Mobile,19,66.74,1157.43,Regular
294,35,94882,10,East,Groceries,Mobile,19,57.29,1244.97,Regular
295,46,91445,92,North,Furniture,Online,11,40.25,448.92,VIP
296,45,100138,99,East,Clothing,In-Store,13,38.94,455.42,VIP
297,62,36739,45,North,Clothing,Mobile,15,86.99,1311.6,Regular
298,40,69125,77,West,Groceries,In-Store,17,425.46,8229.54,Premium
299,32,42195,4,South,Groceries,Online,13,415.83,5282.88,Budget
300,19,109303,10,North,Furniture,Mobile,15,393.74,5773.82,Regular
301,36,46741,28,South,Groceries,Online,17,311.21,5228.87,Regular
302,60,34390,65,North,Furniture,In-Store,18,364.51,6128.35,Regular
303,18,76986,14,North,Sports,In-Store,18,371.86,6014.33,Regular
304,64,107906,4,East,Clothing,Online,15,445.76,6844.72,Regular
305,46,111573,67,South,Electronics,In-Store,21,368.85,8661.87,VIP
306,25,29609,77,South,Electronics,Online,17,370.87,6750.66,Regular
307,33,52589,74,West,Groceries,In-Store,25,404.0,8876.45,Premium
308,46,35352,80,North,Clothing,Mobile,19,282.61,5209.87,Regular
309,34,50786,80,South,Sports,Online,17,114.38,1655.88,Premium
310,23,73384,60,North,Groceries,In-Store,14,51.43,678.53,Premium
311,52,48057,52,South,Groceries,Online,21,215.33,4751.7,Regular
312,52,26751,85,South,Furniture,Mobile,14,54.93,720.63,Regular
313,24,71002,35,North,Clothing,Mobile,17,92.96,1741.78,Regular
314,32,25280,10,North,Furniture,Online,16,21.68,344.53,Budget
315,30,42669,75,West,Electronics,In-Store,11,157.1,1815.8,Premium
316,52,20051,28,North,Groceries,In-Store,12,485.3,6494.24,Budget
317,55,28682,97,West,Sports,In-Store,11,195.68,2270.53,Premium
318,55,63631,42,West,Furniture,In-Store,19,128.04,2722.74,Regular
319,66,105071,85,South,Sports,In-Store,24,207.69,5445.23,VIP
320,57,97462,5,South,Clothing,In-Store,15,157.66,2412.48,Regular
321,34,29883,66,West,Furniture,Online,18,340.2,5751.1,Regular
322,23,23483,45,West,Groceries,Online,10,320.89,3014.58,Regular
323,49,53808,46,North,Groceries,Mobile,15,23.4,390.52,Regular
324,65,85225,27,West,Electronics,Online,18,260.55,4062.23,Regular
325,68,94673,97,West,Electronics,In-Store,12,27.74,376.96,VIP
326,29,102312,39,North,Groceries,Online,12,341.91,3890.05,Premium
327,30,54220,85,North,Electronics,Mobile,11,468.55,5523.4,Premium
328,19,36800,43,East,Furniture,In-Store,19,454.67,8198.23,Regular
329,25,22634,5,North,Furniture,Online,20,110.8,2517.35,Budget
330,46,34686,88,East,Sports,Online,15,373.9,4828.59,Premium
331,46,26516,19,North,Electronics,Online,11,398.6,4191.66,Budget
332,37,106080,27,East,Sports,Mobile,16,433.54,7701.32,Premium
333,34,46841,86,North,Electronics,In-Store,13,137.2,1662.7,Premium
334,61,102312,89,North,Groceries,In-Store,12,230.91,2584.4,VIP
335,41,75315,91,North,Furniture,In-Store,21,118.54,2787.13,Premium
336,60,73894,43,North,Electronics,Online,9,21.91,216.75,Regular
337,68,65479,75,East,Electronics,Online,10,332.92,2935.46,Premium
338,34,101919,33,North,Electronics,Online,15,221.42,3401.19,Premium
339,28,24344,74,West,Groceries,Online,17,131.58,2051.24,Regular
340,67,29275,50,East,Furniture,In-Store,21,425.08,8163.82,Regular
341,51,62338,6,South,Electronics,Mobile,12,252.88,3139.62,Budget
342,33,59448,42,West,Electronics,Mobile,18,497.38,7942.6,Regular
343,50,74559,47,East,Groceries,Mobile,16,398.75,6322.16,Regular
344,44,93779,26,East,Electronics,In-Store,19,435.91,7675.58,Regular
345,65,78754,38,North,Furniture,Online,19,388.93,8174.28,Regular
346,31,45745,50,East,Sports,In-Store,15,61.9,943.68,Regular
347,69,52729,5,East,Furniture,Mobile,13,41.86,497.67,Budget
348,66,95232,16,West,Sports,In-Store,14,458.39,7238.51,Regular
349,27,40146,76,South,Groceries,In-Store,20,77.72,1704.97,Regular
350,26,70417,35,East,Furniture,In-Store,24,201.7,4499.95,Regular
351,45,73879,61,South,Electronics,In-Store,15,308.86,5273.7,Premium
352,20,95026,57,North,Electronics,Mobile,15,113.83,1588.48,Premium
353,33,91435,55,North,Groceries,In-Store,14,120.39,1580.61,Premium
354,40,66467,41,West,Electronics,Online,17,238.46,3915.13,Regular
355,68,50916,48,East,Sports,Online,15,186.84,2520.77,Regular
356,69,56790,82,South,Furniture,In-Store,16,341.52,5770.89,Premium
357,25,61159,96,East,Sports,Online,15,46.79,713.92,Premium
358,64,41918,26,North,Clothing,Mobile,15,249.49,4185.22,Regular
359,22,82540,67,North,Groceries,In-Store,15,95.39,1319.62,Premium
360,56,40837,97,East,Furniture,In-Store,17,307.3,4707.28,Premium
361,61,84867,1,East,Electronics,Online,12,66.94,769.21,Regular
362,64,95149,78,West,Groceries,In-Store,15,106.84,1432.46,VIP
363,29,116183,50,West,Groceries,In-Store,11,403.91,5037.69,Premium
364,64,31891,96,South,Sports,Online,9,125.23,1200.59,Premium
365,24,95973,58,West,Furniture,Mobile,15,371.16,6062.11,Premium
366,44,28598,83,South,Electronics,Online,13,143.8,2008.51,Regular
367,42,53724,17,West,Groceries,Online,16,125.16,1848.05,Regular
368,34,37629,15,North,Groceries,Online,18,156.59,2514.76,Budget
369,19,36228,92,North,Electronics,In-Store,13,441.66,5620.03,Premium
370,58,37534,53,North,Clothing,In-Store,18,204.61,4046.51,Regular
371,35,24393,56,West,Clothing,Mobile,14,129.44,1720.02,Regular
372,52,102310,17,North,Electronics,Online,16,272.95,3724.65,Regular
373,39,26112,23,West,Groceries,Mobile,22,198.96,4587.3,Budget
374,37,59850,82,East,Electronics,In-Store,21,397.2,7590.65,Premium
375,64,89916,31,North,Groceries,Online,20,495.32,10033.7,Regular
376,22,119038,58,West,Electronics,Online,13,268.02,2977.17,VIP
377,56,105370,32,North,Furniture,Online,19,231.36,4407.51,Premium
378,56,33721,27,North,Electronics,Mobile,16,178.09,2758.49,Budget
379,37,118773,17,East,Sports,Online,17,486.94,9222.69,Premium
380,31,85353,93,South,Electronics,In-Store,21,246.81,5527.91,VIP
381,18,37956,94,South,Groceries,In-Store,11,97.22,920.57,Premium
382,66,64872,12,North,Clothing,Mobile,15,484.92,7905.58,Regular
383,67,111788,35,East,Electronics,In-Store,20,480.83,10456.79,Premium
384,30,59291,56,North,Groceries,In-Store,21,223.51,4923.81,Regular
385,19,38363,38,North,Furniture,Online,16,180.61,3261.93,Regular
386,24,107508,72,East,Sports,Mobile,10,343.41,3746.52,VIP
387,21,115297,26,South,Clothing,Online,18,416.17,6859.34,Premium
388,61,117559,6,East,Electronics,Online,15,254.28,3678.66,Regular
389,64,115571,34,North,Furniture,Mobile,22,172.1,3615.73,Premium
390,25,107285,60,East,Groceries,Online,18,157.68,2842.42,Premium
391,56,65448,18,West,Electronics,Online,18,170.03,3477.12,Regular
392,27,39230,81,South,Furniture,In-Store,22,67.84,1544.24,Premium
393,37,81715,2,South,Groceries,Online,19,391.52,7021.42,Regular
394,49,42079,7,East,Groceries,Online,14,61.43,973.93,Budget
395,55,67315,51,East,Clothing,In-Store,15,205.17,3262.45,Regular
396,63,85607,51,North,Clothing,In-Store,15,419.12,5845.62,Premium
397,20,114657,30,East,Electronics,In-Store,22,208.01,5134.31,Premium
398,28,48908,26,North,Furniture,Online,14,154.43,2060.98,Regular
